experiment_dir,relative_dir,useful_file_count,has_summary_md,has_metrics_json,has_run_config,has_artifacts_manifest,has_handoff_summary,has_align_multimodal,has_verified_events,metrics_preview,useful_files
baseline,output/paper_experiments/baseline,12,1,1,1,1,0,1,1,,output/paper_experiments/baseline/actions.from_align.sample.jsonl ; output/paper_experiments/baseline/align_multimodal.json ; output/paper_experiments/baseline/artifacts_manifest.json ; output/paper_experiments/baseline/asr_stub.from_event_queries.sample.jsonl ; output/paper_experiments/baseline/metrics.json ; output/paper_experiments/baseline/per_person_sequences.json ; output/paper_experiments/baseline/run_config.json ; output/paper_experiments/baseline/summary.md ; output/paper_experiments/baseline/verified_events.jsonl ; output/paper_experiments/baseline/verifier_calibration_report.json ; output/paper_experiments/baseline/verifier_eval_report.json ; output/paper_experiments/baseline/verifier_reliability_diagram.svg
exp_a_uq_align,output/paper_experiments/exp_a_uq_align,6,1,1,0,0,1,0,0,default_params.base_window=1.0 | default_params.alpha_motion=1.2 | default_params.beta_uq=0.8 | default_params.min_window=0.6 | default_params.max_window=4.0 | default_params.fixed_window=1.0,output/paper_experiments/exp_a_uq_align/actions.from_align.sample.jsonl ; output/paper_experiments/exp_a_uq_align/alignment_noise_curve.csv ; output/paper_experiments/exp_a_uq_align/alignment_sensitivity.csv ; output/paper_experiments/exp_a_uq_align/handoff_summary.json ; output/paper_experiments/exp_a_uq_align/metrics.json ; output/paper_experiments/exp_a_uq_align/summary.md
exp_b_reliability_calibration,output/paper_experiments/exp_b_reliability_calibration,13,1,1,1,1,1,1,1,metrics.sample_count=4 | metrics.temperature=0.5 | metrics.delta_high_uq_fpr_uq_gate_vs_no_gate=0.0 | metrics.delta_ece_calibrated_vs_uq_gate=-0.109014 | metrics.delta_brier_calibrated_vs_uq_gate=-0.061347,output/paper_experiments/exp_b_reliability_calibration/align_multimodal.json ; output/paper_experiments/exp_b_reliability_calibration/artifacts_manifest.json ; output/paper_experiments/exp_b_reliability_calibration/calibration_report.json ; output/paper_experiments/exp_b_reliability_calibration/handoff_summary.json ; output/paper_experiments/exp_b_reliability_calibration/metrics.json ; output/paper_experiments/exp_b_reliability_calibration/per_person_sequences.json ; output/paper_experiments/exp_b_reliability_calibration/reliability_after.svg ; output/paper_experiments/exp_b_reliability_calibration/reliability_before.svg ; output/paper_experiments/exp_b_reliability_calibration/reliability_bins.csv ; output/paper_experiments/exp_b_reliability_calibration/reliability_metrics_raw.json ; output/paper_experiments/exp_b_reliability_calibration/run_config.json ; output/paper_experiments/exp_b_reliability_calibration/summary.md ; output/paper_experiments/exp_b_reliability_calibration/verified_events.jsonl
exp_c_negative_sampling,output/paper_experiments/exp_c_negative_sampling,11,1,0,1,1,1,1,0,,output/paper_experiments/exp_c_negative_sampling/align_multimodal.json ; output/paper_experiments/exp_c_negative_sampling/artifacts_manifest.json ; output/paper_experiments/exp_c_negative_sampling/eval_report_both.json ; output/paper_experiments/exp_c_negative_sampling/eval_report_positive_only.json ; output/paper_experiments/exp_c_negative_sampling/eval_report_semantic_mismatch.json ; output/paper_experiments/exp_c_negative_sampling/eval_report_temporal_shift.json ; output/paper_experiments/exp_c_negative_sampling/handoff_summary.json ; output/paper_experiments/exp_c_negative_sampling/metrics_compare.csv ; output/paper_experiments/exp_c_negative_sampling/run_config.json ; output/paper_experiments/exp_c_negative_sampling/summary.md ; output/paper_experiments/exp_c_negative_sampling/train_samples.jsonl
exp_d_semantic_embedding,output/paper_experiments/exp_d_semantic_embedding,11,1,1,1,1,1,1,0,metrics.delta_embedding_vs_rule_f1=0.0 | metrics.delta_hybrid_vs_rule_f1=0.0,output/paper_experiments/exp_d_semantic_embedding/align_multimodal.json ; output/paper_experiments/exp_d_semantic_embedding/artifacts_manifest.json ; output/paper_experiments/exp_d_semantic_embedding/handoff_summary.json ; output/paper_experiments/exp_d_semantic_embedding/metrics.json ; output/paper_experiments/exp_d_semantic_embedding/run_config.json ; output/paper_experiments/exp_d_semantic_embedding/semantic_error_cases.jsonl ; output/paper_experiments/exp_d_semantic_embedding/summary.md ; output/paper_experiments/exp_d_semantic_embedding/text_score_compare.csv ; output/paper_experiments/exp_d_semantic_embedding/verified_embedding.jsonl ; output/paper_experiments/exp_d_semantic_embedding/verified_hybrid.jsonl ; output/paper_experiments/exp_d_semantic_embedding/verified_rule.jsonl
exp_dual_verifier_reliability,output/paper_experiments/exp_dual_verifier_reliability,11,1,1,1,1,1,1,1,metrics.num_verified_events=2 | metrics.f1=0.333333 | metrics.precision=0.333333 | metrics.recall=0.333333 | metrics.macro_f1=0.333333 | metrics.accuracy=1.0 | metrics.ece=0.667684 | metrics.brier=0.44587 | metrics.temperature=3.0,output/paper_experiments/exp_dual_verifier_reliability/align_multimodal.json ; output/paper_experiments/exp_dual_verifier_reliability/artifacts_manifest.json ; output/paper_experiments/exp_dual_verifier_reliability/handoff_summary.json ; output/paper_experiments/exp_dual_verifier_reliability/metrics.json ; output/paper_experiments/exp_dual_verifier_reliability/per_person_sequences.json ; output/paper_experiments/exp_dual_verifier_reliability/run_config.json ; output/paper_experiments/exp_dual_verifier_reliability/summary.md ; output/paper_experiments/exp_dual_verifier_reliability/verified_events.jsonl ; output/paper_experiments/exp_dual_verifier_reliability/verifier_calibration_report.json ; output/paper_experiments/exp_dual_verifier_reliability/verifier_eval_report.json ; output/paper_experiments/exp_dual_verifier_reliability/verifier_reliability_diagram.svg
exp_e_object_evidence,output/paper_experiments/exp_e_object_evidence,8,1,1,1,1,1,0,0,metrics.flip_count=1 | metrics.beneficial_flip_rate=1.0 | metrics.harmful_flip_rate=0.0 | metrics.beneficial_flip_count=1 | metrics.harmful_flip_count=0 | metrics.ambiguity_subset_size=1,output/paper_experiments/exp_e_object_evidence/actions_fused.jsonl ; output/paper_experiments/exp_e_object_evidence/ambiguity_pairs_report.csv ; output/paper_experiments/exp_e_object_evidence/artifacts_manifest.json ; output/paper_experiments/exp_e_object_evidence/flip_cases.jsonl ; output/paper_experiments/exp_e_object_evidence/handoff_summary.json ; output/paper_experiments/exp_e_object_evidence/metrics.json ; output/paper_experiments/exp_e_object_evidence/run_config.json ; output/paper_experiments/exp_e_object_evidence/summary.md
exp_f_pages_demo,output/paper_experiments/exp_f_pages_demo,1,0,0,0,0,1,0,0,,output/paper_experiments/exp_f_pages_demo/handoff_summary.json
exp_object_action_fusion,output/paper_experiments/exp_object_action_fusion,5,1,1,1,1,0,0,0,metrics.num_actions=5 | metrics.label_changed_count=1 | metrics.label_changed_ratio=0.2 | metrics.mean_confidence_delta=0.04376 | metrics.pseudo_gt_accuracy_before=0.8 | metrics.pseudo_gt_accuracy_after=1.0,output/paper_experiments/exp_object_action_fusion/actions_fused.jsonl ; output/paper_experiments/exp_object_action_fusion/artifacts_manifest.json ; output/paper_experiments/exp_object_action_fusion/metrics.json ; output/paper_experiments/exp_object_action_fusion/run_config.json ; output/paper_experiments/exp_object_action_fusion/summary.md
exp_uq_adaptive_alignment,output/paper_experiments/exp_uq_adaptive_alignment,5,1,1,1,1,0,1,0,metrics.num_events=2 | metrics.avg_candidates_per_event=2.0 | metrics.avg_window_size_sec=1.883 | metrics.avg_top1_overlap=1.0 | metrics.semantic_hit_rate_top1=1.0 | metrics.semantic_hit_rate_topk=1.0,output/paper_experiments/exp_uq_adaptive_alignment/align_multimodal.json ; output/paper_experiments/exp_uq_adaptive_alignment/artifacts_manifest.json ; output/paper_experiments/exp_uq_adaptive_alignment/metrics.json ; output/paper_experiments/exp_uq_adaptive_alignment/run_config.json ; output/paper_experiments/exp_uq_adaptive_alignment/summary.md
