"figure_id","source_path","target_path","section","caption_draft","status","bytes"
"e150_results_curve","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\results.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_results.png","train","Training and validation loss plus detection metrics across epochs.","ok","300038"
"e150_confusion_matrix","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_confusion_matrix.png","train","Confusion matrix of the e150 YOLO detector on the validation split.","ok","189192"
"e150_confusion_matrix_normalized","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix_normalized.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_confusion_matrix_normalized.png","train","Normalized confusion matrix of the e150 YOLO detector.","ok","170182"
"e150_pr_curve","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxPR_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_BoxPR_curve.png","train","Precision-recall curve for the e150 detector.","ok","203456"
"e150_f1_curve","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxF1_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_BoxF1_curve.png","train","F1-confidence curve for threshold selection.","ok","254008"
"e150_p_curve","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxP_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_BoxP_curve.png","train","Precision-confidence curve for threshold selection.","ok","201478"
"e150_r_curve","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxR_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_BoxR_curve.png","train","Recall-confidence curve for threshold selection.","ok","245724"
"e150_labels","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\labels.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_labels.jpg","dataset","Label distribution and annotation geometry overview.","ok","125290"
"e150_train_batch0","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\train_batch0.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_train_batch0.jpg","dataset","Training batch visualization.","ok","602032"
"e150_val0_pred","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch0_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_val_batch0_pred.jpg","qualitative","Validation prediction examples, batch 0.","ok","573683"
"e150_val1_pred","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch1_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_val_batch1_pred.jpg","qualitative","Validation prediction examples, batch 1.","ok","577481"
"e150_val2_pred","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch2_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_val_batch2_pred.jpg","qualitative","Validation prediction examples, batch 2.","ok","587380"
"e150_timeline_chart","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_e150_001\full_integration_001\timeline_chart.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_timeline_chart.png","pipeline","Timeline visualization from the e150 full integration run.","ok","67815"
"e150_reliability_diagram","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_e150_001\full_integration_001\verifier_reliability_diagram.svg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_verifier_reliability_diagram.svg","verifier","Verifier reliability diagram from the full integration run.","ok","5167"
