group,relative_path,size_bytes,modified_time
docs,docs/README_PAGES.md,2493,2026-04-16T09:15:55
docs,docs/annotation_evidence_package_check.md,2169,2026-04-16T23:09:35
docs,docs/annotation_workbench_report.md,2191,2026-04-16T22:46:33
docs,docs/asr_ablation_random6_medium_cpu.md,3664,2026-04-20T21:04:34
docs,docs/asr_ablation_random6_small_cpu.md,3610,2026-04-20T20:51:27
docs,docs/asr_ablation_random6_small_cuda.md,3199,2026-04-20T20:55:09
docs,docs/asr_ablation_random6_small_cuda_hybrid_recover.md,5715,2026-04-20T21:44:26
docs,docs/asr_ablation_random6_small_cuda_retry.md,3633,2026-04-20T21:21:24
docs,docs/asr_ablation_random6_small_cuda_retry_failed2.md,540,2026-04-20T21:21:54
docs,docs/asr_ablation_random6_small_cuda_retry_recover2.md,684,2026-04-20T21:40:02
docs,docs/asr_ablation_smoke_20260420_asr.md,585,2026-04-20T20:35:43
docs,docs/asr_ablation_smoke_20260420_asr_front.md,411,2026-04-20T20:36:29
docs,docs/asr_random6_local_comparison_report.md,2060,2026-04-20T21:46:02
docs,docs/asr_upgrade_playbook.md,2806,2026-04-20T20:35:18
docs,docs/data_to_output_pipeline_summary.md,12330,2026-04-20T19:26:57
docs,docs/formal_verifier_contracts.md,4589,2026-04-16T09:15:55
docs,docs/gold_annotation_manual_current.md,9707,2026-04-21T15:16:06
docs,docs/gold_annotation_next_steps.md,1499,2026-04-16T21:48:05
docs,docs/gold_label_protocol.md,4072,2026-04-16T13:40:21
docs,docs/gold_peer_review_prep.md,8422,2026-04-21T14:24:11
docs,docs/gold_second_batch_plan.md,3091,2026-04-21T20:22:35
docs,docs/gold_validation_report.md,1611,2026-04-21T20:12:10
docs,docs/next_actions.md,1344,2026-04-16T10:34:58
docs,docs/paper_experiment_baseline.md,2493,2026-04-15T10:45:45
docs,docs/paper_experiment_matrix.md,3747,2026-04-16T10:34:58
docs,docs/paper_figures_and_tables.md,3229,2026-04-16T10:34:58
docs,docs/paper_method_summary.md,2083,2026-04-16T10:34:58
docs,docs/paper_risk_checklist.md,2054,2026-04-16T10:34:58
