"section","source_path","target_path","status","note"
"source_docs","D:\Users\Lenovo\Downloads\论文准备.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\论文准备.md","copied","用户上传的论文准备材料"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\full_research_report.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\full_research_report.md","copied","全量遍历审计研究报告"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\scan_summary.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\scan_summary.json","copied","项目遍历统计"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\dataset_classroom_yolo_summary.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\dataset_classroom_yolo_summary.json","copied","数据集类别与划分统计"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\results.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_results.png","copied","训练损失与mAP曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_confusion_matrix.png","copied","混淆矩阵"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix_normalized.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_confusion_matrix_normalized.png","copied","归一化混淆矩阵"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxPR_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxPR_curve.png","copied","PR曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxF1_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxF1_curve.png","copied","F1置信度曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxP_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxP_curve.png","copied","Precision曲线"
