row_id,case_id,view_code,case_output_dir,suggested_event_id,suggested_track_id,suggested_action,suggested_time_start,suggested_time_end,suggested_label,transcript_empty,transcript_nearby,query_text,event_type,align_candidate_count,top_align_candidate,verified_label,verified_track_id,verified_p_match,actions_empty,actions_nearby,uq_summary,timeline_chart_path,overlay_video_path,manual_gold_track_id,manual_gold_action,manual_gold_start,manual_gold_end,manual_match_label,manual_noise_type,manual_occlusion_level,manual_asr_quality,manual_annotator,manual_review_status,manual_notes,missing_evidence,evidence_dir,contact_sheet_path
1,teacher__0004,teacher,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004,e_000000_00,1,listen,0.000,2.640,uncertain,false,[0.00-2.64] 风扇风光 谁也想说一说 (overlap),风扇风光 谁也想说一说,unknown,4,track=1 action=listen t=0.00-12.57 overlap=1.000 conf=0.791 uq=0.103,uncertain,1,0.5097,false,[0.00-6.83] track=2 action=read conf=0.133 (overlap) | [0.00-12.57] track=1 action=listen conf=0.791 (overlap) | [0.00-12.57] track=3 action=read conf=0.139 (overlap) | [0.00-2.03] track=4 action=read conf=0.129 (overlap),"frames=95 t=[0.00,3.13] uq_frame_mean=0.314 target_track=1 uq_track_mean=0.095 uq_track_max=0.162",output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004/timeline_chart.png,,unknown,teacher_speaking,0.000,12.560,match,none,none,high,Gemini,draft,"Teacher is clearly visible and audible, asking a question to the class.",overlay_behavior_video_missing,,
2,teacher__0004,teacher,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004,e_000001_00,1,listen,3.200,5.480,uncertain,false,[3.20-5.48] 你看到它之后啊 都有什么感受 (overlap),你看到它之后啊 都有什么感受,unknown,3,track=1 action=listen t=0.00-12.57 overlap=1.000 conf=0.791 uq=0.089,uncertain,1,0.5097,false,[0.00-6.83] track=2 action=read conf=0.133 (overlap) | [0.00-12.57] track=1 action=listen conf=0.791 (overlap) | [0.00-12.57] track=3 action=read conf=0.139 (overlap),"frames=99 t=[2.70,5.97] uq_frame_mean=0.291 target_track=1 uq_track_mean=0.077 uq_track_max=0.118",output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004/timeline_chart.png,,unknown,teacher_speaking,0.000,12.560,match,none,none,high,Gemini,draft,"Teacher is clearly visible and audible, asking a question to the class.",overlay_behavior_video_missing,,
3,teacher__0004,teacher,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004,e_000002_00,1,listen,5.480,7.280,uncertain,false,[5.48-7.28] 给你留下来哪些印象呢 (overlap),给你留下来哪些印象呢,unknown,6,track=1 action=listen t=0.00-12.57 overlap=1.000 conf=0.791 uq=0.061,uncertain,1,0.5097,false,[0.00-12.57] track=1 action=listen conf=0.791 (overlap) | [0.00-12.57] track=3 action=read conf=0.139 (overlap) | [0.00-6.83] track=2 action=read conf=0.133 (overlap) | [6.70-6.87] track=4 action=read conf=0.127 (overlap) | [7.13-7.43] track=4 action=read conf=0.125 (overlap),"frames=84 t=[5.00,7.77] uq_frame_mean=0.276 target_track=1 uq_track_mean=0.059 uq_track_max=0.093",output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004/timeline_chart.png,,unknown,teacher_speaking,0.000,12.560,match,none,none,high,Gemini,draft,"Teacher is clearly visible and audible, asking a question to the class.",overlay_behavior_video_missing,,
4,teacher__0004,teacher,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004,e_000003_00,1,listen,9.000,11.240,uncertain,false,[9.00-11.24] 这些 这些山 (overlap),这些 这些山,unknown,3,track=1 action=listen t=0.00-12.57 overlap=1.000 conf=0.791 uq=0.057,uncertain,1,0.5097,false,[8.20-12.57] track=2 action=read conf=0.142 (overlap) | [0.00-12.57] track=1 action=listen conf=0.791 (overlap) | [0.00-12.57] track=3 action=read conf=0.139 (overlap),"frames=98 t=[8.50,11.73] uq_frame_mean=0.278 target_track=1 uq_track_mean=0.055 uq_track_max=0.065",output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004/timeline_chart.png,,unknown,hand_raising,10.000,12.560,match,camera_angle,high,not_applicable,Gemini,draft,Student at the bottom right raises hand. High occlusion due to camera angle and desk.,overlay_behavior_video_missing,,
5,front__003,front,output/智慧课堂学生行为数据集/real_pilot/front/front__003,e_000000_00,2,listen,0.000,1.000,uncertain,false,[0.00-1.00] 規則 (overlap),規則,unknown,8,track=2 action=listen t=0.00-3.88 overlap=1.000 conf=0.936 uq=0.004,uncertain,2,0.5376,false,[0.00-3.88] track=1 action=listen conf=0.715 (overlap) | [0.00-3.88] track=2 action=listen conf=0.936 (overlap) | [0.00-3.88] track=3 action=listen conf=0.712 (overlap) | [0.00-3.88] track=4 action=listen conf=0.618 (overlap) | [0.00-3.88] track=5 action=listen conf=0.855 (overlap),"frames=38 t=[0.00,1.48] uq_frame_mean=0.063 target_track=2 uq_track_mean=0.004 uq_track_max=0.100",output/智慧课堂学生行为数据集/real_pilot/front/front__003/timeline_chart.png,,unknown,reading_aloud,0.000,3.880,match,multi_person_ambiguity,low,high,Gemini,draft,Whole class reciting in unison; specific student target is ambiguous without overlay.,overlay_behavior_video_missing,,
6,front__003,front,output/智慧课堂学生行为数据集/real_pilot/front/front__003,e_000001_00,2,listen,1.000,2.000,uncertain,false,[1.00-2.00] 拒絕 (overlap),拒絕,unknown,8,track=2 action=listen t=0.00-3.88 overlap=1.000 conf=0.936 uq=0.001,uncertain,2,0.5376,false,[0.00-3.88] track=1 action=listen conf=0.715 (overlap) | [0.00-3.88] track=2 action=listen conf=0.936 (overlap) | [0.00-3.88] track=3 action=listen conf=0.712 (overlap) | [0.00-3.88] track=4 action=listen conf=0.618 (overlap) | [0.00-3.88] track=5 action=listen conf=0.855 (overlap),"frames=50 t=[0.52,2.48] uq_frame_mean=0.060 target_track=2 uq_track_mean=0.001 uq_track_max=0.003",output/智慧课堂学生行为数据集/real_pilot/front/front__003/timeline_chart.png,,unknown,reading_aloud,0.000,3.880,match,multi_person_ambiguity,low,high,Gemini,draft,Whole class reciting in unison; specific student target is ambiguous without overlay.,overlay_behavior_video_missing,,
7,front__003,front,output/智慧课堂学生行为数据集/real_pilot/front/front__003,e_000002_00,2,listen,2.000,3.000,uncertain,false,[2.00-3.00] 拒絕 (overlap),拒絕,unknown,8,track=2 action=listen t=0.00-3.88 overlap=1.000 conf=0.936 uq=0.001,uncertain,2,0.5376,false,[1.48-3.88] track=10 action=listen conf=0.688 (overlap) | [0.00-3.88] track=1 action=listen conf=0.715 (overlap) | [0.00-3.88] track=2 action=listen conf=0.936 (overlap) | [0.00-3.88] track=3 action=listen conf=0.712 (overlap) | [0.00-3.88] track=4 action=listen conf=0.618 (overlap),"frames=50 t=[1.52,3.48] uq_frame_mean=0.061 target_track=2 uq_track_mean=0.001 uq_track_max=0.003",output/智慧课堂学生行为数据集/real_pilot/front/front__003/timeline_chart.png,,unknown,reading_aloud,0.000,3.880,match,multi_person_ambiguity,low,high,Gemini,draft,Whole class reciting in unison; specific student target is ambiguous without overlay.,overlay_behavior_video_missing,,
8,top2__250286,top2,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286,e_000000_00,10,listen,0.000,3.000,match,false,[0.00-3.00] 请做回答的非常好看来 (overlap),respond to teacher call,respond_call,8,track=10 action=listen t=0.00-4.00 overlap=1.000 conf=0.721 uq=0.107,match,10,0.9463,false,[0.00-4.00] track=1 action=listen conf=0.633 (overlap) | [0.00-4.00] track=2 action=listen conf=0.578 (overlap) | [0.00-4.00] track=3 action=listen conf=0.562 (overlap) | [0.00-4.00] track=4 action=listen conf=0.643 (overlap) | [0.00-4.00] track=5 action=listen conf=0.658 (overlap),"frames=106 t=[0.00,3.50] uq_frame_mean=0.156 target_track=10 uq_track_mean=0.108 uq_track_max=0.206",output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286/timeline_chart.png,,unknown,sitting_down,0.000,2.000,match,none,medium,not_applicable,Gemini,draft,Student on the left is initially standing and sits down; lower body partially occluded by desk.,overlay_behavior_video_missing,,
9,top2__250286,top2,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286,e_000001_00,10,listen,3.000,4.000,mismatch,false,[3.00-4.00] 你 (overlap),你,unknown,8,track=10 action=listen t=0.00-4.00 overlap=0.721 conf=0.721 uq=0.107,mismatch,10,0.3965,false,[0.40-4.00] track=12 action=listen conf=0.560 (overlap) | [0.00-4.00] track=1 action=listen conf=0.633 (overlap) | [0.00-4.00] track=2 action=listen conf=0.578 (overlap) | [0.00-4.00] track=3 action=listen conf=0.562 (overlap) | [0.00-4.00] track=4 action=listen conf=0.643 (overlap),"frames=45 t=[2.50,3.97] uq_frame_mean=0.158 target_track=10 uq_track_mean=0.107 uq_track_max=0.111",output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286/timeline_chart.png,,unknown,teacher_speaking,0.000,4.000,match,none,high,high,Gemini,draft,Teacher speaks clearly and instructs student; teacher mostly near/out of frame at lower right.,overlay_behavior_video_missing,,
10,front__004,front,output/智慧课堂学生行为数据集/real_pilot/front/front__004,e_000000_00,2,listen,0.000,2.000,uncertain,false,[0.00-2.00] 十言 (overlap),十言,unknown,8,track=2 action=listen t=0.00-4.68 overlap=1.000 conf=0.959 uq=0.003,uncertain,2,0.5420,false,[0.00-2.44] track=11 action=listen conf=0.916 (overlap) | [0.00-3.04] track=9 action=listen conf=0.891 (overlap) | [0.00-4.68] track=1 action=listen conf=0.942 (overlap) | [0.00-4.68] track=2 action=listen conf=0.959 (overlap) | [0.00-4.68] track=3 action=listen conf=0.912 (overlap),"frames=63 t=[0.00,2.48] uq_frame_mean=0.058 target_track=2 uq_track_mean=0.002 uq_track_max=0.100",output/智慧课堂学生行为数据集/real_pilot/front/front__004/timeline_chart.png,,unknown,reading_aloud,0.000,4.680,match,multi_person_ambiguity,low,high,Gemini,draft,Call-and-response reading activity; ambiguity exists without overlay target IDs.,overlay_behavior_video_missing,,
