"figure_id","source_path","target_path","section","caption_draft","status"
"old_results","F:\PythonProject\pythonProject\YOLOv11\runs\detect\case_yolo_train\results.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_results.png","train","old_results","True"
"old_confusion","F:\PythonProject\pythonProject\YOLOv11\runs\detect\case_yolo_train\confusion_matrix.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_confusion_matrix.png","train","old_confusion","True"
"old_val0","F:\PythonProject\pythonProject\YOLOv11\runs\detect\case_yolo_train\val_batch0_pred.jpg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_val_batch0_pred.jpg","qualitative","old_val0","True"
"old_val1","F:\PythonProject\pythonProject\YOLOv11\runs\detect\case_yolo_train\val_batch1_pred.jpg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_val_batch1_pred.jpg","qualitative","old_val1","True"
"new_results","F:\PythonProject\pythonProject\YOLOv11\runs\detect\wisdom8_yolo11s_detect_v1\results.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_results.png","train","new_results","True"
"new_confusion","F:\PythonProject\pythonProject\YOLOv11\runs\detect\wisdom8_yolo11s_detect_v1\confusion_matrix.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_confusion_matrix.png","train","new_confusion","True"
"new_val0","F:\PythonProject\pythonProject\YOLOv11\runs\detect\wisdom8_yolo11s_detect_v1\val_batch0_pred.jpg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_val_batch0_pred.jpg","qualitative","new_val0","True"
"new_val1","F:\PythonProject\pythonProject\YOLOv11\runs\detect\wisdom8_yolo11s_detect_v1\val_batch1_pred.jpg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_val_batch1_pred.jpg","qualitative","new_val1","True"
"old_timeline","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_timeline_verified.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_timeline_verified.png","timeline","old_timeline","True"
"new_timeline","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_timeline_verified.png","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_timeline_verified.png","timeline","new_timeline","True"
"old_reliability","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_001\full_integration_001\verifier_reliability_diagram.svg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\old_verifier_reliability.svg","verifier","old_reliability","True"
"new_reliability","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_wisdom8_001\full_integration_001\verifier_reliability_diagram.svg","codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_wisdom8_001\new_verifier_reliability.svg","verifier","new_reliability","True"
